"Titulación","Hombres","Mujeres","Total",
"Grado En Arqueología",44,71,115,
"Grado En Bellas Artes",326,635,961,
"Grado En Conservación Y Restauración De Bienes Cultural",44,158,202,
"Grado En Estudios Franceses",51,179,230,
"Grado En Estudios Ingleses",178,457,635,
"Grado En Estudios Árabes E Islámicos",51,98,149,
"Grado En Filología Clásica",49,90,139,
"Grado En Filología Hispánica",116,394,510,
"Grado En Filosofía",172,93,265,
"Grado En Historia",393,185,578,
"Grado En Historia Del Arte",157,335,492,
"Grado En Historia Y Ciencias De La Música",135,107,242,
"Grado En Lenguas Modernas Y Sus Literaturas",106,325,431,
"Grado En Literaturas Comparadas",53,97,150,
"Grado En Traducción E Interpretación",276,1105,1381,
"Licenciado En Antropología Social Y Cultural",15,33,48,
"Licenciado En Bellas Artes",48,63,111,
"Licenciado En Filología Clásica",6,7,13,
"Licenciado En Filología Eslava",1,2,3,
"Licenciado En Filología Francesa",4,15,19,
"Licenciado En Filología Hispánica",10,26,36,
"Licenciado En Filología Inglesa",36,86,122,
"Licenciado En Filología Italiana",0,1,1,
"Licenciado En Filología Románica",0,1,1,
"Licenciado En Filología Árabe",5,10,15,
"Licenciado En Filosofía",20,11,31,
"Licenciado En Geografía",21,10,31,
"Licenciado En Historia",53,35,88,
"Licenciado En Historia Del Arte",33,79,112,
"Licenciado En Historia Y Ciencias De La Musica",2,6,8,
"Licenciado En Teoría De La Literatura Y Literatura Comparada",6,3,9,
"Licenciado En Traducción E Interpretación",28,93,121,
"Diplomado En Estadística",2,6,8,
"Diplomado En Nutrición Humana Y Dietética",2,12,14,
"Diplomado En Óptica Y Optometría",4,11,15,
"Grado En Biología",442,599,1041,
"Grado En Bioquímica",80,135,215,
"Grado En Biotecnología",23,26,49,
"Grado En Ciencia Y Tecnología De Los Alimentos",79,150,229,
"Grado En Ciencias Ambientales",307,226,533,
"Grado En Estadística",93,57,150,
"Grado En Física",289,102,391,
"Grado En Geología",126,87,213,
"Grado En Matemáticas",205,170,375,
"Grado En Química",181,168,349,
"Grado En Óptica Y Optometría",156,315,471,
"Licenciado En Biología",86,134,220,
"Licenciado En Bioquímica",7,14,21,
"Licenciado En Ciencia Y Tecnología De Los Alimentos",5,19,24,
"Licenciado En Ciencias Ambientales",54,60,114,
"Licenciado En Ciencias Y Técnicas Estadísticas",7,4,11,
"Licenciado En Física",50,25,75,
"Licenciado En Geología",18,12,30,
"Licenciado En Matemáticas",33,20,53,
"Licenciado En Química",28,36,64,
"Diplomado En Biblioteconomía Y Documentación",0,2,2,
